what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1386230797565
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1386230797565
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1386230797565
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1386230797566
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1386230797566
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1386230797566
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1386230797567
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1386230797567
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1386230797568
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1386230797568
os,sysinfo,,,"macosx",1386230797571
arch,sysinfo,,,"x86_64",1386230797571
ws,sysinfo,,,"cocoa",1386230797571
locale,sysinfo,,,"en_US",1386230797571
processors,sysinfo,,,"4",1386230797571
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386230797571
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1386230797571
java.specification.name,sysinfo,,,"Java Platform API Specification",1386230797571
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386230797571
java.specification.version,sysinfo,,,"1.6",1386230797571
java.vendor,sysinfo,,,"Apple Inc.",1386230797571
java.version,sysinfo,,,"1.6.0_37",1386230797571
java.vm.info,sysinfo,,,"mixed mode",1386230797571
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1386230797571
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386230797571
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386230797571
java.vm.specification.version,sysinfo,,,"1.0",1386230797571
java.vm.vendor,sysinfo,,,"Apple Inc.",1386230797571
java.vm.version,sysinfo,,,"20.12-b01-434",1386230797571
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1386230797664
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1386230797676
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1386230798058
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1386230798059
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1386230798102
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1386230798135
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1386230798244
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1386230798333
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1386230798348
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386230820138
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386230820156
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1386230820215
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386230823629
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386230827372
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1386230827377
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1386230837202
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1386230837541
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386230837836
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386230854866
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386230868475
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386230891104
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1386230895419
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1386230896147
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1386230896148
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1386230896149
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.search",1386230896150
